,all_prices,avg_rating,ios_prices,list_price,name,num_voters,page_no,rank,rating,year
0,"

			List: $140.00
		

Lowest Amazon: $94.01


New Amazon: $109.98




","
			8.91		","
New Amazon: $109.98



","
			List: $140.00
		",Gloomhaven,"
			23974		",1,1,"
			8.611		",-2017
1,"

			List: $69.99
		

New Amazon: Too low to display




","
			8.65		",,"
			List: $69.99
		",Pandemic Legacy: Season 1,"
			30607		",1,2,"
			8.493		",-2015
2,"

			List: $69.95
		

New Amazon: $45.68




","
			8.54		","
iOS App: $9.99
","
			List: $69.95
		",Through the Ages: A New Story of Civilization,"
			15336		",1,3,"
			8.258		",-2015
3,"

			List: $69.95
		

Lowest Amazon: $38.78


New Amazon: $44.87




","
			8.40		","
New Amazon: $44.87



","
			List: $69.95
		",Terraforming Mars,"
			37413		",1,4,"
			8.241		",-2016
4,"

			List: $64.99
		

New Amazon: $32.74




","
			8.33		","
iOS App: $6.99
","
			List: $64.99
		",Twilight Struggle,"
			34009		",1,5,"
			8.175		",-2005
5,"

			List: $99.95
		

Lowest Amazon: Too low to display


New Amazon: $84.19




","
			8.45		","
New Amazon: $84.19



","
			List: $99.95
		",Star Wars: Rebellion,"
			16246		",1,6,"
			8.161		",-2016
6,"

			List: $83.97
		

New Amazon: $79.99




","
			8.56		",,"
			List: $83.97
		",Gaia Project,"
			8837		",1,7,"
			8.125		",-2017
7,"

			List: $90.00
		

Lowest Amazon: Too low to display


New Amazon: $58.50




","
			8.29		","
New Amazon: $58.50



","
			List: $90.00
		",Scythe,"
			38479		",1,8,"
			8.121		",-2016
8,"

			List: $69.95
		

New Amazon: $55.95




","
			8.29		",,"
			List: $69.95
		",Great Western Trail,"
			18612		",1,9,"
			8.078		",-2016
9,"

			List: $149.95
		

New Amazon: $119.96




","
			8.74		",,"
			List: $149.95
		",Twilight Imperium (Fourth Edition),"
			6248		",1,10,"
			8.064		",-2017
10,"

			List: $79.99
		

New Amazon: $51.25

","
			8.20		","
iOS App: $9.99
","
			List: $79.99
		",Terra Mystica,"
			32255		",1,11,"
			8.050		",-2012
11,"

			List: $89.99
		

New Amazon: $70.00




","
			8.42		",,"
			List: $89.99
		",War of the Ring (Second Edition),"
			9640		",1,12,"
			8.030		",-2012
12,"

			List: $41.99
		

Lowest Amazon: $32.05


New Amazon: $34.73




","
			8.13		","
New Amazon: $34.73



","
			List: $41.99
		",The Castles of Burgundy,"
			36129		",1,13,"
			8.012		",-2011
13,"

			List: $29.99
		

Lowest Amazon: $21.37


New Amazon: $26.99




","
			8.13		","
New Amazon: $26.99



","
			List: $29.99
		",7 Wonders Duel,"
			39700		",1,14,"
			7.992		",-2015
14,"

			List: $79.95
		

Lowest Amazon: $51.22


New Amazon: $57.12




","
			8.39		","
New Amazon: $57.12



","
			List: $79.95
		",Spirit Island,"
			10155		",1,15,"
			7.990		",-2017
15,"

			List: $59.00
		
","
			8.63		","
The 7th Continent
(2017)
","
			List: $59.00
		",Brass: Birmingham,"
			5090		",1,16,"
			7.973		",-2018
16,,"
			8.44		","

			List: $60.00
		

Lowest Amazon: Too low to display


New Amazon: $44.63




","]
					",The 7th Continent,"
			8724		",1,17,"
			7.943		",-2017
17,"

			List: $60.00
		

Lowest Amazon: Too low to display


New Amazon: $44.63




","
			8.15		","
New Amazon: $44.63



","
			List: $60.00
		",Viticulture Essential Edition,"
			16903		",1,18,"
			7.927		",-2015
18,"

			List: $64.99
		

New Amazon: $44.93




","
			8.10		",,"
			List: $64.99
		",Concordia,"
			19388		",1,19,"
			7.925		",-2013
19,"

			List: $44.99
		

Lowest Amazon: $25.96


New Amazon: $28.48




","
			8.04		","
New Amazon: $28.48



","
			List: $44.99
		",Puerto Rico,"
			55980		",1,20,"
			7.923		",-2002
20,"

			List: $39.95
		

Lowest Amazon: Too low to display


New Amazon: $31.80




","
			8.23		","
New Amazon: $31.80



","
			List: $39.95
		",Arkham Horror: The Card Game,"
			16913		",1,21,"
			7.921		",-2016
