,name,rating,avg_rating,year,rank,page_no,num_voters,list_price,ios_prices,all_prices
0,Gloomhaven,8.61,8.91,2017.00,1.00,1.00,23974.00,140.00,New Amazon: $109.98,List: $140.00Lowest Amazon: $94.01New Amazon: $109.98
1,Pandemic Legacy: Season 1,8.49,8.65,2015.00,2.00,1.00,30607.00,69.99,,List: $69.99New Amazon: Too low to display
2,Through the Ages: A New Story of Civilization,8.26,8.54,2015.00,3.00,1.00,15336.00,69.95,iOS App: $9.99,List: $69.95New Amazon: $45.68
3,Terraforming Mars,8.24,8.40,2016.00,4.00,1.00,37413.00,69.95,New Amazon: $44.87,List: $69.95Lowest Amazon: $38.78New Amazon: $44.87
4,Twilight Struggle,8.18,8.33,2005.00,5.00,1.00,34009.00,64.99,iOS App: $6.99,List: $64.99New Amazon: $32.74
5,Star Wars: Rebellion,8.16,8.45,2016.00,6.00,1.00,16246.00,99.95,New Amazon: $84.19,List: $99.95Lowest Amazon: Too low to displayNew Amazon: $84.19
6,Gaia Project,8.13,8.56,2017.00,7.00,1.00,8837.00,83.97,,List: $83.97New Amazon: $79.99
7,Scythe,8.12,8.29,2016.00,8.00,1.00,38479.00,90.00,New Amazon: $58.50,List: $90.00Lowest Amazon: Too low to displayNew Amazon: $58.50
8,Great Western Trail,8.08,8.29,2016.00,9.00,1.00,18612.00,69.95,,List: $69.95New Amazon: $55.95
9,Twilight Imperium (Fourth Edition),8.06,8.74,2017.00,10.00,1.00,6248.00,149.95,,List: $149.95New Amazon: $119.96
10,Terra Mystica,8.05,8.20,2012.00,11.00,1.00,32255.00,79.99,iOS App: $9.99,List: $79.99New Amazon: $51.25
11,War of the Ring (Second Edition),8.03,8.42,2012.00,12.00,1.00,9640.00,89.99,,List: $89.99New Amazon: $70.00
12,The Castles of Burgundy,8.01,8.13,2011.00,13.00,1.00,36129.00,41.99,New Amazon: $34.73,List: $41.99Lowest Amazon: $32.05New Amazon: $34.73
13,7 Wonders Duel,7.99,8.13,2015.00,14.00,1.00,39700.00,29.99,New Amazon: $26.99,List: $29.99Lowest Amazon: $21.37New Amazon: $26.99
14,Spirit Island,7.99,8.39,2017.00,15.00,1.00,10155.00,79.95,New Amazon: $57.12,List: $79.95Lowest Amazon: $51.22New Amazon: $57.12
15,Brass: Birmingham,7.97,8.63,2018.00,16.00,1.00,5090.00,59.00,The 7th Continent(2017),List: $59.00
16,The 7th Continent,7.94,8.44,2017.00,17.00,1.00,8724.00,,List: $60.00Lowest Amazon: Too low to displayNew Amazon: $44.63,
17,Viticulture Essential Edition,7.93,8.15,2015.00,18.00,1.00,16903.00,60.00,New Amazon: $44.63,List: $60.00Lowest Amazon: Too low to displayNew Amazon: $44.63
18,Concordia,7.93,8.10,2013.00,19.00,1.00,19388.00,64.99,,List: $64.99New Amazon: $44.93
19,Puerto Rico,7.92,8.04,2002.00,20.00,1.00,55980.00,44.99,New Amazon: $28.48,List: $44.99Lowest Amazon: $25.96New Amazon: $28.48
20,Arkham Horror: The Card Game,7.92,8.23,2016.00,21.00,1.00,16913.00,39.95,New Amazon: $31.80,List: $39.95Lowest Amazon: Too low to displayNew Amazon: $31.80
21,Caverna: The Cave Farmers,7.91,8.08,2013.00,22.00,1.00,23374.00,97.00,New Amazon: $77.98,List: $97.00Lowest Amazon: $71.99New Amazon: $77.98
22,Brass: Lancashire,7.91,8.12,2007.00,23.00,1.00,14786.00,59.99,iOS App: $5.99,List: $59.99New Amazon: $59.95
23,Mage Knight Board Game,7.89,8.10,2011.00,24.00,1.00,23262.00,124.99,New Amazon: $97.99,List: $124.99Lowest Amazon: $94.54New Amazon: $97.99
24,Agricola,7.89,7.99,2007.00,25.00,1.00,56568.00,79.71,iOS App: $1.99,List: $79.71New Amazon: $47.99
25,Mansions of Madness: Second Edition,7.88,8.16,2016.00,26.00,1.00,16143.00,99.95,New Amazon: $89.95,List: $99.95Lowest Amazon: $78.52New Amazon: $89.95
26,Orléans,7.88,8.08,2014.00,27.00,1.00,15560.00,59.99,,List: $59.99New Amazon: $47.00
27,A Feast for Odin,7.86,8.18,2016.00,28.00,1.00,10796.00,99.99,New Amazon: $83.00,List: $99.99Lowest Amazon: Too low to displayNew Amazon: $83.00
28,Food Chain Magnate,7.85,8.19,2015.00,29.00,1.00,9429.00,,Blood Rage(2015),New Amazon: $101.24
29,Blood Rage,7.85,8.03,2015.00,30.00,1.00,25083.00,79.99,,List: $79.99New Amazon: $62.97
30,Mechs vs. Minions,7.82,8.14,2016.00,31.00,1.00,10984.00,,,Lowest Amazon: $104.99New Amazon: $147.77
31,Pandemic Legacy: Season 2,7.81,8.27,2017.00,32.00,1.00,6907.00,79.99,New Amazon: $63.84,List: $79.99Lowest Amazon: Too low to displayNew Amazon: $63.84
32,Kingdom Death: Monster,7.81,8.81,2015.00,33.00,1.00,5748.00,,List: $99.99New Amazon: $79.96,
33,Star Wars: Imperial Assault,7.81,8.08,2014.00,34.00,1.00,16369.00,99.99,iOS App: Free,List: $99.99New Amazon: $79.96
34,Through the Ages: A Story of Civilization,7.80,7.99,2006.00,35.00,1.00,16833.00,69.99,New Amazon: $99.99,List: $69.99Lowest Amazon: $30.00New Amazon: $99.99
